# Selection : patch(inlet)
# Faces  :    12
# Area   :    3.600000e-02
# Time        	areaAverage(p)	areaAverage(U)
0.198         	2.264000e+01	(2.002780e-07 2.167253e-03 7.497271e-17)
0.2           	2.264000e+01	(2.020179e-07 2.189132e-03 7.497271e-17)
0.202         	2.264000e+01	(2.037511e-07 2.211011e-03 7.497271e-17)
0.204         	2.264000e+01	(2.054775e-07 2.232891e-03 7.497271e-17)
0.206         	2.264000e+01	(2.071972e-07 2.254770e-03 7.497271e-17)
0.208         	2.264000e+01	(2.089101e-07 2.276649e-03 7.497271e-17)
0.21          	2.264000e+01	(2.106162e-07 2.298528e-03 7.497271e-17)
0.212         	2.264000e+01	(2.123154e-07 2.320407e-03 7.497271e-17)
0.214         	2.264000e+01	(2.140077e-07 2.342286e-03 7.497271e-17)
0.216         	2.264000e+01	(2.156931e-07 2.364165e-03 7.497271e-17)
0.218         	2.264000e+01	(2.173716e-07 2.386044e-03 7.497271e-17)
0.22          	2.264000e+01	(2.190432e-07 2.407923e-03 7.497271e-17)
0.222         	2.264000e+01	(2.207079e-07 2.429801e-03 7.497272e-17)
0.224         	2.264000e+01	(2.223657e-07 2.451680e-03 7.497272e-17)
0.226         	2.264000e+01	(2.240166e-07 2.473559e-03 7.497272e-17)
0.228         	2.264000e+01	(2.256606e-07 2.495437e-03 7.497272e-17)
0.23          	2.264000e+01	(2.272978e-07 2.517316e-03 7.497272e-17)
0.232         	2.264000e+01	(2.289279e-07 2.539194e-03 7.497272e-17)
0.234         	2.264000e+01	(2.305511e-07 2.561073e-03 7.497272e-17)
0.236         	2.264000e+01	(2.321674e-07 2.582951e-03 7.497272e-17)
0.238         	2.264000e+01	(2.337769e-07 2.604829e-03 7.497272e-17)
0.24          	2.264000e+01	(2.353796e-07 2.626708e-03 7.497272e-17)
0.242         	2.264000e+01	(2.369755e-07 2.648586e-03 7.497272e-17)
0.244         	2.264000e+01	(2.385646e-07 2.670464e-03 7.497272e-17)
0.246         	2.264000e+01	(2.401470e-07 2.692342e-03 7.497272e-17)
0.248         	2.264000e+01	(2.417226e-07 2.714220e-03 7.497272e-17)
0.25          	2.264000e+01	(2.432915e-07 2.736098e-03 7.497272e-17)
0.252         	2.264000e+01	(2.448537e-07 2.757976e-03 7.497272e-17)
0.254         	2.264000e+01	(2.464093e-07 2.779854e-03 7.497272e-17)
0.256         	2.264000e+01	(2.479582e-07 2.801732e-03 7.497272e-17)
0.258         	2.264000e+01	(2.495005e-07 2.823610e-03 7.497272e-17)
0.26          	2.264000e+01	(2.510363e-07 2.845487e-03 7.497272e-17)
0.262         	2.264000e+01	(2.525656e-07 2.867365e-03 7.497272e-17)
0.264         	2.264000e+01	(2.540883e-07 2.889243e-03 7.497272e-17)
0.266         	2.264000e+01	(2.556046e-07 2.911121e-03 7.497272e-17)
0.268         	2.264000e+01	(2.571145e-07 2.932998e-03 7.497272e-17)
0.27          	2.264000e+01	(2.586180e-07 2.954876e-03 7.497272e-17)
0.272         	2.264000e+01	(2.601152e-07 2.976753e-03 7.497272e-17)
0.274         	2.264000e+01	(2.616060e-07 2.998631e-03 7.497272e-17)
0.276         	2.264000e+01	(2.630906e-07 3.020508e-03 7.497272e-17)
0.278         	2.264000e+01	(2.645691e-07 3.042385e-03 7.497272e-17)
0.28          	2.264000e+01	(2.660413e-07 3.064263e-03 7.497273e-17)
0.282         	2.264000e+01	(2.675074e-07 3.086140e-03 7.497273e-17)
0.284         	2.264000e+01	(2.689675e-07 3.108017e-03 7.497273e-17)
0.286         	2.264000e+01	(2.704215e-07 3.129895e-03 7.497273e-17)
0.288         	2.264000e+01	(2.718696e-07 3.151772e-03 7.497273e-17)
0.29          	2.264000e+01	(2.733116e-07 3.173649e-03 7.497273e-17)
0.292         	2.264000e+01	(2.747477e-07 3.195526e-03 7.497273e-17)
0.294         	2.264000e+01	(2.761779e-07 3.217403e-03 7.497273e-17)
0.296         	2.264000e+01	(2.776021e-07 3.239280e-03 7.497273e-17)
0.298         	2.264000e+01	(2.790203e-07 3.261157e-03 7.497273e-17)
0.3           	2.264000e+01	(2.804327e-07 3.283034e-03 7.497273e-17)
